iter	Passed	Remaining
864	32060	5003
865	32097	4966
866	32135	4929
867	32173	4892
868	32207	4855
869	32244	4818
870	32279	4780
871	32314	4743
872	32349	4706
873	32390	4669
874	32433	4633
875	32476	4597
876	32526	4561
877	32571	4525
878	32612	4489
879	32661	4453
880	32711	4418
881	32755	4382
882	32801	4346
883	32844	4309
884	32883	4272
885	32923	4236
886	32960	4199
887	32998	4161
888	33038	4125
889	33091	4089
890	33134	4053
891	33174	4016
892	33210	3979
893	33245	3941
894	33283	3904
895	33320	3867
896	33356	3830
897	33391	3792
898	33426	3755
899	33469	3718
900	33512	3682
901	33561	3646
902	33605	3609
903	33658	3574
904	33697	3537
905	33737	3500
906	33778	3463
907	33821	3426
908	33861	3389
909	33898	3352
910	33931	3314
911	33968	3277
912	34010	3240
913	34046	3203
914	34081	3166
915	34114	3128
916	34151	3091
917	34190	3054
918	34228	3016
919	34269	2979
920	34309	2942
921	34341	2905
922	34375	2867
923	34412	2830
924	34452	2793
925	34489	2756
926	34522	2718
927	34557	2681
928	34594	2643
929	34630	2606
930	34672	2569
931	34725	2533
932	34771	2496
933	34805	2459
934	34842	2422
935	34880	2384
936	34920	2347
937	34953	2310
938	34984	2272
939	35015	2235
940	35049	2197
941	35092	2160
942	35128	2123
943	35165	2086
944	35200	2048
945	35232	2011
946	35265	1973
947	35295	1936
948	35336	1899
949	35373	1861
950	35414	1824
951	35447	1787
952	35482	1749
953	35516	1712
954	35549	1675
955	35587	1637
956	35627	1600
957	35670	1563
958	35715	1526
959	35753	1489
960	35802	1452
961	35866	1416
962	35913	1379
963	35948	1342
964	35987	1305
965	36042	1268
966	36116	1232
967	36172	1195
968	36217	1158
969	36265	1121
970	36315	1084
971	36359	1047
972	36397	1009
973	36431	972
974	36467	935
975	36509	897
976	36544	860
977	36580	822
978	36617	785
979	36664	748
980	36701	710
981	36741	673
982	36780	636
983	36815	598
984	36855	561
985	36890	523
986	36932	486
987	36989	449
988	37037	411
989	37081	374
990	37127	337
991	37174	299
992	37234	262
993	37283	225
994	37317	187
995	37352	150
996	37386	112
997	37419	74
998	37456	37
999	37502	0
